State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage
"Alabama","2024-09-21","1 Year","1.7115737258832608","1.1277795181213868","1.375059068303195","Minimal",
"Alabama","2024-08-10","All Results","1.43687780534354","1.242919949297956","1.3292555378018416","Minimal",
"Alabama","2024-11-16","1 Year","9.6494246420891","1.9018599717541953","2.608619495131993","Moderate",
"Alabama","2023-07-08","All Results","1.2404174849995742","1.3398682487327878","1.3169448468611247","Minimal",
"Alabama","2024-04-13","All Results","1.835410765698708","1.8944334461402075","1.6681087345177756","Minimal",
"Alabama","2024-11-30","1 Year","14.803330086593755","2.478119700017096","4.993747678462119","High",
"Alabama","2024-04-27","All Results","1.526890666915287","1.4494715612057396","1.3386489766286802","Minimal",
"Alabama","2023-05-13","All Results","1.3781495437693732","1.4760473812022687","1.5018192034246285","Minimal",
"Alabama","2024-08-24","1 Year","1.727476265504108","1.2673298696842639","1.3728807368326412","Minimal",
"Alabama","2022-09-10","All Results","6.743334516156996","1.7643639384689946","4.832771288273911","Low",
"Alabama","2024-06-15","All Results","1.5031356956808448","1.23456863855318","1.2811972896557755","Minimal",
"Alabama","2024-07-20","All Results","1.6441627007850315","1.246469827075243","1.2662659588902918","Minimal",
"Alabama","2024-08-31","6 Months","1.5484448264873227","1.223386760856302","1.319856418136507","Minimal",
"Alabama","2024-08-03","1 Year","1.3681150983940933","1.2117774856178687","1.3041568959107757","Minimal",
"Alabama","2024-12-21","45 Days","20.313685282015392","6.456566512174676","10.209315976736104","Very High",
"Alabama","2024-01-13","All Results","5.748541028472856","11.50486881812913","8.205543935151315","Low",
"Alabama","2023-09-16","All Results","1.9656633320935513","1.5393654452144425","1.6676480222984016","Minimal",
"Alabama","2023-11-11","All Results","12.108292325918933","5.228844851580356","9.989673371717005","High",
"Alabama","2024-02-24","1 Year","3.20400659209319","5.004470772824632","3.2416079142187444","Minimal",
"Alabama","2025-01-18","All Results","8.367222317690073","8.984588455957956","12.134344479707307","Moderate",
"Alabama","2024-09-07","6 Months","1.7810019419849088","1.200549473508577","1.4182564326791773","Minimal",
"Alabama","2024-03-02","All Results","4.575678965220362","4.384293955863033","2.778414191147384","Low",
"Alabama","2024-07-27","1 Year","1.3998301985187112","1.2356186457814795","1.42032401037902","Minimal",
"Alabama","2022-10-29","All Results","6.176594481426975","8.16865725736274","9.546389993879268","Low",
"Alabama","2024-03-09","1 Year","3.5700939467449024","3.7738027810447625","2.1599242010744137","Minimal",
"Alabama","2024-10-26","6 Months","2.4521163119952765","1.1430410765010333","1.4709635009725388","Minimal",
"Alabama","2023-09-09","All Results","2.053030531656881","1.5324862841893818","1.8213321476759203","Minimal",
"Alabama","2024-04-27","1 Year","1.526890666915287","1.4494715612057396","1.3386489766286802","Minimal",
"Alabama","2025-01-18","1 Year","8.367222317690073","8.984588455957956","12.134344479707307","Moderate",
"Alabama","2025-01-04","1 Year","22.348028944804785","10.114488564688504","15.476046795325924","Very High",
"Alabama","2024-11-23","All Results","10.894036709343801","2.3428102320469266","3.3039212217942455","Moderate",
"Alabama","2024-07-20","1 Year","1.6441627007850315","1.246469827075243","1.2662659588902918","Minimal",
"Alabama","2023-08-19","All Results","2.69494760399657","1.4869955190100288","1.6239005733180925","Minimal",
"Alabama","2024-10-05","1 Year","1.457603241543179","1.2359243011851502","1.6664873555357909","Minimal",
"Alabama","2022-08-20","All Results","6.826868663812425","1.913578539920122","3.936656629274413","Low",
"Alabama","2022-08-13","All Results","1.3838226942644372","1.4742086085209223","1.9326653375332123","Minimal","Limited Coverage"
"Alabama","2024-01-20","All Results","7.408211539481126","8.578529805840017","6.264428251342627","Low",
"Alabama","2024-04-13","1 Year","1.835410765698708","1.8944334461402075","1.6681087345177756","Minimal",
"Alabama","2025-01-18","6 Months","8.367222317690073","8.984588455957956","12.134344479707307","Moderate",
"Alabama","2023-02-25","All Results","2.741895339472736","3.6618074081969043","2.741895339472736","Minimal",
"Alabama","2025-01-11","All Results","12.524420810579082","9.907209406863393","15.166236818632859","High",
"Alabama","2022-10-22","All Results","6.80705160599948","6.614310015588087","7.799009002482268","Low",
"Alabama","2022-12-31","All Results","7.239467979997774","9.648613240392084","8.791037342431439","Low",
"Alabama","2024-10-05","All Results","1.457603241543179","1.2359243011851502","1.6664873555357909","Minimal",
"Alabama","2022-11-05","All Results","6.034134370380673","8.949546997572329","9.988080199853014","Low",
"Alabama","2024-06-15","1 Year","1.5031356956808448","1.23456863855318","1.2811972896557755","Minimal",
"Alabama","2024-07-27","All Results","1.3998301985187112","1.2356186457814795","1.42032401037902","Minimal",
"Alabama","2022-09-17","All Results","5.2667881811846895","2.7788476917752494","5.11632012357973","Low",
"Alabama","2022-12-24","All Results","4.381332053668355","10.311835413726385","9.198673685433398","Low",
"Alabama","2024-12-28","6 Months","16.018840205289493","6.471747131416667","12.883752053911081","High",
"Alabama","2024-03-09","All Results","3.5700939467449024","3.7738027810447625","2.1599242010744137","Minimal",
"Alabama","2023-07-01","All Results","1.259252975760214","1.3484125202458035","1.3179099567321875","Minimal",
"Alabama","2024-05-04","1 Year","1.3944675887153941","1.4616134182268445","1.3005261981458023","Minimal",
"Alabama","2023-04-15","All Results","1.3057379199216383","1.7763482657716354","1.5780266246073054","Minimal",
"Alabama","2023-07-22","All Results","1.3899087275725608","1.4713321519068052","1.5465823726484824","Minimal",
"Alabama","2022-10-01","All Results","6.730005538573331","3.0649186904090926","7.218467469927795","Low",
"Alabama","2024-02-10","1 Year","2.9255691773706327","6.450413067500842","3.6087351750045156","Minimal",
"Alabama","2024-12-28","1 Year","16.018840205289493","6.471747131416667","12.883752053911081","High",
"Alabama","2024-08-17","All Results","1.9335493437240572","1.2125270826227872","1.408646294522444","Minimal",
"Alabama","2022-12-10","All Results","7.393545855682391","11.83463094546321","9.80749006773682","Low",
"Alabama","2024-11-09","All Results","6.623900813211911","1.5231809717753952","2.4972490352372727","Low",
"Alabama","2024-04-20","All Results","1.9697920426348665","1.5652121545677726","1.4119892847636504","Minimal",
"Alabama","2024-10-19","6 Months","3.3295101700323158","1.2548092298909328","1.8378506001214572","Minimal",
"Alabama","2024-03-23","All Results","3.349563711170809","2.505778880814403","1.779229361819733","Minimal",
"Alabama","2024-02-24","All Results","3.20400659209319","5.004470772824632","3.2416079142187444","Minimal",
"Alabama","2023-02-18","All Results","2.874804072419671","4.567111246677747","2.9133868572298107","Minimal",
"Alabama","2025-02-01","45 Days","7.562025440181142","8.267475906966219","8.01444486388577","Low",
"Alabama","2024-01-06","All Results","10.888774001666082","14.534456979783815","12.673600026182346","Moderate",
"Alabama","2024-10-26","All Results","2.4521163119952765","1.1430410765010333","1.4709635009725388","Minimal",
"Alabama","2024-08-24","All Results","1.727476265504108","1.2673298696842639","1.3728807368326412","Minimal",
"Alabama","2024-05-11","All Results","1.3845824383901248","1.4518922057803278","1.305852352170728","Minimal",
"Alabama","2022-10-15","All Results","6.488116718870507","6.332203992963098","8.237845696713618","Low",
"Alabama","2023-03-18","All Results","1.3040150145573914","2.5703910420647595","1.38680370204027","Minimal",
"Alabama","2023-07-29","All Results","1.4429771099015996","1.3848952526366276","1.53929576081736","Minimal",
"Alabama","2025-01-11","1 Year","12.524420810579082","9.907209406863393","15.166236818632859","High",
"Alabama","2024-03-30","1 Year","1.5596662853673418","2.3242541613746592","1.617463094137582","Minimal",
"Alabama","2024-11-09","6 Months","6.623900813211911","1.5231809717753952","2.4972490352372727","Low",
"Alabama","2023-11-18","All Results","12.647531570367908","7.556434716750641","10.414552642250088","High",
"Alabama","2024-03-02","1 Year","4.575678965220362","4.384293955863033","2.778414191147384","Low",
"Alabama","2024-06-29","All Results","1.2508644429968745","1.2772811286547057","1.2409336875823902","Minimal",
"Alabama","2024-11-30","All Results","14.803330086593755","2.478119700017096","4.993747678462119","High",
"Alabama","2023-09-02","All Results","1.3872093861066384","1.401598458230465","1.3872093861066384","Minimal",
"Alabama","2023-10-14","All Results","6.648519706812674","1.6920754581433062","2.846976440438034","Low",
"Alabama","2023-06-17","All Results","1.1604489138623988","1.3433609953692134","1.4789487224284605","Minimal",
"Alabama","2024-01-27","All Results","5.503749798850734","7.68045857683833","5.319016257582622","Low",
"Alabama","2023-04-22","All Results","1.3766172301714874","1.500029705227049","1.2752349906030978","Minimal",
"Alabama","2024-12-07","All Results","16.059671248504788","4.090956539461703","7.731188380285492","High",
"Alabama","2024-03-23","1 Year","3.349563711170809","2.505778880814403","1.779229361819733","Minimal",
"Alabama","2023-06-24","All Results","1.423327861289982","1.349720852362902","1.4046122379352344","Minimal",
"Alabama","2024-12-07","6 Months","16.059671248504788","4.090956539461703","7.731188380285492","High",
"Alabama","2025-01-25","All Results","11.755984182674252","8.405897624569947","9.322907346911457","Moderate",
"Alabama","2024-12-21","6 Months","20.313685282015392","6.456566512174676","10.209315976736104","Very High",
"Alabama","2024-08-17","6 Months","1.9335493437240572","1.2125270826227872","1.408646294522444","Minimal",
"Alabama","2024-11-30","6 Months","14.803330086593755","2.478119700017096","4.993747678462119","High",
"Alabama","2024-11-02","6 Months","3.253555433400202","1.2608820938434817","1.9078565158596776","Minimal",
"Alabama","2024-10-19","1 Year","3.3295101700323158","1.2548092298909328","1.8378506001214572","Minimal",
"Alabama","2024-11-16","6 Months","9.6494246420891","1.9018599717541953","2.608619495131993","Moderate",
"Alabama","2024-05-25","1 Year","1.289771338178382","1.3446766387983387","1.4068733080097173","Minimal",
"Alabama","2024-12-28","All Results","16.018840205289493","6.471747131416667","12.883752053911081","High",
"Alabama","2024-06-22","All Results","1.462855296616769","1.2143114686462066","1.2676361652140127","Minimal",
"Alabama","2023-08-05","All Results","1.504296546005543","1.3535608700342519","1.3260958266651275","Minimal",
"Alabama","2024-04-06","All Results","1.4643192072193463","2.135933317118989","1.6108305448563112","Minimal",
"Alabama","2023-01-21","All Results","5.14786570444328","6.321951214307646","3.691879271829566","Low",
"Alabama","2024-05-25","All Results","1.289771338178382","1.3446766387983387","1.4068733080097173","Minimal",
"Alabama","2023-12-30","All Results","15.777092496696559","13.206538268840948","12.350127172726369","High",
"Alabama","2025-01-04","45 Days","22.348028944804785","10.114488564688504","15.476046795325924","Very High",
"Alabama","2024-08-03","All Results","1.3681150983940933","1.2117774856178687","1.3041568959107757","Minimal",
"Alabama","2024-09-21","6 Months","1.7115737258832608","1.1277795181213868","1.375059068303195","Minimal",
"Alabama","2023-08-12","All Results","1.789849321662809","1.4537640635832405","1.5071490352660164","Minimal",
"Alabama","2024-03-16","All Results","1.8943555473508926","3.146954807263977","2.067293736705804","Minimal",
"Alabama","2023-02-04","All Results","2.713688614348751","4.556415554838869","3.0408798346137105","Minimal",
"Alabama","2025-02-01","1 Year","7.562025440181142","8.267475906966219","8.01444486388577","Low",
"Alabama","2022-08-27","All Results","8.000398470004754","2.6663070187225926","3.966403830349756","Moderate",
"Alabama","2023-01-07","All Results","7.892252999578989","8.485501828267784","7.042837400156813","Low",
"Alabama","2024-02-03","All Results","8.387490177389866","6.868853057067891","5.566944152973342","Moderate",
"Alabama","2023-05-06","All Results","1.163606029527207","1.3454636598572922","1.2643740328942545","Minimal",
"Alabama","2024-09-28","6 Months","1.506819921146983","1.2074778058326354","1.523947352235846","Minimal",
"Alabama","2023-06-10","All Results","1.451159332649089","1.4553956613142738","1.4594698939607182","Minimal",
"Alabama","2024-06-08","All Results","1.1984973199447062","1.3410467607374912","1.2630369475492098","Minimal",
"Alabama","2024-10-12","1 Year","1.4329620773145944","1.1542211171229773","1.4878255286219986","Minimal",
"Alabama","2025-02-01","6 Months","7.562025440181142","8.267475906966219","8.01444486388577","Low",
"Alabama","2024-02-10","All Results","2.9255691773706327","6.450413067500842","3.6087351750045156","Minimal",
"Alabama","2024-08-31","All Results","1.5484448264873227","1.223386760856302","1.319856418136507","Minimal",
"Alabama","2024-05-18","1 Year","1.6798750922852024","1.3958032796591708","1.3269517310507282","Minimal",
"Alabama","2024-11-23","1 Year","10.894036709343801","2.3428102320469266","3.3039212217942455","Moderate",
"Alabama","2023-05-20","All Results","1.2710427838212899","1.4572328594379043","1.5556269696433964","Minimal",
"Alabama","2023-12-02","All Results","15.781481887631644","11.029971455205702","13.308591731173294","High",
"Alabama","2024-12-14","1 Year","18.11791474793151","5.4126318448278585","10.778935757337308","High",
"Alabama","2024-06-29","1 Year","1.2508644429968745","1.2772811286547057","1.2409336875823902","Minimal",
"Alabama","2023-08-26","All Results","1.8810783090991958","1.659814819640174","1.5872593501198025","Minimal",
"Alabama","2025-01-25","45 Days","11.755984182674252","8.405897624569947","9.322907346911457","Moderate",
"Alabama","2024-07-06","All Results","1.4558233121043334","1.207804023666502","1.2611836663463192","Minimal",
"Alabama","2025-01-18","45 Days","8.367222317690073","8.984588455957956","12.134344479707307","Moderate",
"Alabama","2025-01-11","45 Days","12.524420810579082","9.907209406863393","15.166236818632859","High",
"Alabama","2024-11-09","1 Year","6.623900813211911","1.5231809717753952","2.4972490352372727","Low",
"Alabama","2025-02-01","All Results","7.562025440181142","8.267475906966219","8.01444486388577","Low",
"Alabama","2024-10-26","1 Year","2.4521163119952765","1.1430410765010333","1.4709635009725388","Minimal",
"Alabama","2024-05-11","1 Year","1.3845824383901248","1.4518922057803278","1.305852352170728","Minimal",
"Alabama","2024-06-08","1 Year","1.1984973199447062","1.3410467607374912","1.2630369475492098","Minimal",
"Alabama","2022-11-26","All Results","6.561527360391845","11.572523574519522","11.08517649865609","Low",
"Alaska","2024-11-02","All Results","1.0","1.2608820938434817","1.3507576791110776","Minimal",
"Alaska","2024-03-09","All Results","3.5098835496170278","3.7738027810447625","4.367609246937711","Minimal",
"Alaska","2024-08-17","1 Year","1.0","1.2125270826227872","1.084457265624935","Minimal",
"Alaska","2024-10-05","1 Year","1.0","1.2359243011851502","1.0487252511144496","Minimal",
"Alaska","2024-05-04","1 Year","2.066075946108944","1.4616134182268445","1.4308040248293736","Minimal",
"Alaska","2025-01-11","All Results","11.372651833818894","9.907209406863393","8.569254179582803","Moderate",
"Alaska","2024-09-28","6 Months","1.0","1.2074778058326354","1.1163950557015665","Minimal",
"Alaska","2025-02-01","1 Year","14.041146405934292","8.267475906966219","10.828191902553563","High",
"Alaska","2024-11-09","All Results","2.4035358068396633","1.5231809717753952","1.4614682315107845","Minimal",
"Alaska","2023-10-28","All Results","2.5204079066444773","2.498974325870483","2.0738267391862446","Minimal",
"Alaska","2024-04-27","1 Year","1.1840494470147571","1.4494715612057396","1.3811427072092664","Minimal",
"Alaska","2025-01-11","6 Months","11.372651833818894","9.907209406863393","8.569254179582803","Moderate",
"Alaska","2024-07-27","1 Year","1.0","1.2356186457814795","1.0903391014648598","Minimal",
"Alaska","2023-11-18","All Results","10.643126155215862","7.556434716750641","6.059677509520139","Moderate",
"Alaska","2025-02-01","45 Days","14.041146405934292","8.267475906966219","10.828191902553563","High",
"Alaska","2024-05-11","All Results","1.0","1.4518922057803278","1.4179060345603542","Minimal",
"Alaska","2023-09-16","All Results","1.5899329153329609","1.5393654452144425","1.9140744972154717","Minimal",
"Alaska","2023-07-08","All Results","2.1539013092952692","1.3398682487327878","1.4227760260886428","Minimal",
"Alaska","2024-09-07","All Results","1.0","1.200549473508577","1.1238517626995455","Minimal",
"Alaska","2024-04-13","1 Year","1.4639535171720401","1.8944334461402075","1.6339010539196492","Minimal",
"Alaska","2025-01-18","All Results","15.634673087316745","8.984588455957956","8.558853134436557","High",
"Alaska","2024-08-10","All Results","1.0","1.242919949297956","1.0883420130505608","Minimal",
"Alaska","2024-10-19","1 Year","1.0","1.2548092298909328","1.244443683483863","Minimal",
"Alaska","2023-05-27","All Results","1.7790593191008366","1.379052949432491","1.405761009485819","Minimal",
"Alaska","2024-04-06","All Results","1.687367187885251","2.135933317118989","1.8469981296042584","Minimal",
"Alaska","2023-11-11","All Results","7.705788056932776","5.228844851580356","5.070965992887333","Low",
"Alaska","2024-10-12","6 Months","1.0","1.1542211171229773","1.0784825897565677","Minimal",
"Alaska","2024-04-20","1 Year","1.3510222403163525","1.5652121545677726","1.453978322969769","Minimal",
"Alaska","2024-12-07","6 Months","7.268599647070955","4.090956539461703","5.190257361760109","Low",
"Alaska","2024-03-23","All Results","2.8764289092167434","2.505778880814403","2.235981722593549","Minimal",
"Alaska","2024-12-14","1 Year","12.666748288519809","5.4126318448278585","4.149530274370978","High",
"Alaska","2024-06-08","All Results","1.0","1.3410467607374912","1.333959582254787","Minimal",
"Alaska","2024-03-02","1 Year","3.8478211810243472","4.384293955863033","4.179255831335338","Minimal",
"Alaska","2023-07-15","All Results","1.7679626272199365","1.4587763746004656","1.474803324474663","Minimal",
"Alaska","2024-09-07","6 Months","1.0","1.200549473508577","1.1238517626995455","Minimal",
"Alaska","2023-09-23","All Results","1.4077307542920952","1.6379685705049671","1.9324888339591908","Minimal",
"Alaska","2024-11-30","6 Months","3.0513923782924985","2.478119700017096","3.1986150994287157","Minimal",
"Alaska","2024-02-17","All Results","4.00400492760768","5.703167230339917","6.4131978521899935","Low",
"Alaska","2023-06-03","All Results","3.050784240621534","1.2857997502584706","1.3406912944874088","Minimal",
"Alaska","2024-02-24","All Results","4.703475102425824","5.004470772824632","5.068583592319442","Low",
"Alaska","2024-02-03","All Results","3.1412469001499845","6.868853057067891","7.766630688020336","Minimal",
"Alaska","2025-01-25","6 Months","8.315640702964595","8.405897624569947","8.863457109717016","Moderate",
"Alaska","2024-10-26","6 Months","1.0","1.1430410765010333","1.2178076863442207","Minimal",
"Alaska","2024-02-10","1 Year","4.394543955814573","6.450413067500842","7.929727767093965","Low",
"Alaska","2024-12-21","1 Year","21.445337653050633","6.456566512174676","6.088496678667122","Very High",
"Alaska","2025-01-25","1 Year","8.315640702964595","8.405897624569947","8.863457109717016","Moderate",
"Alaska","2024-09-28","1 Year","1.0","1.2074778058326354","1.1163950557015665","Minimal",
"Alaska","2024-07-06","All Results","1.0","1.207804023666502","1.1116608740721863","Minimal",
"Alaska","2024-11-16","6 Months","1.0","1.9018599717541953","2.2186841501419297","Minimal",
"Alaska","2023-12-02","All Results","13.687190995645317","11.029971455205702","8.655377713720855","High",
"Alaska","2024-09-14","6 Months","1.0","1.1752096114241828","1.1406880045571857","Minimal",
"Alaska","2024-03-09","1 Year","3.5098835496170278","3.7738027810447625","4.367609246937711","Minimal",
"Alaska","2024-03-02","All Results","3.8478211810243472","4.384293955863033","4.179255831335338","Minimal",
"Alaska","2024-03-16","1 Year","1.356137050108102","3.146954807263977","3.4550394176773445","Minimal",
"Alaska","2024-08-17","6 Months","1.0","1.2125270826227872","1.084457265624935","Minimal",
"Alaska","2024-12-14","All Results","12.666748288519809","5.4126318448278585","4.149530274370978","High",
"Alaska","2024-08-24","1 Year","1.0","1.2673298696842639","1.0931915860062658","Minimal",
"Alaska","2024-06-01","All Results","1.0","1.2894717665960558","1.1998703554049492","Minimal",
"Alaska","2024-01-06","All Results","20.679346296975535","14.534456979783815","15.877944314524704","Very High",
"Alaska","2024-08-17","All Results","1.0","1.2125270826227872","1.084457265624935","Minimal",
"Alaska","2024-06-22","1 Year","1.0","1.2143114686462066","1.1950068284528004","Minimal",
"Alaska","2024-11-09","1 Year","2.4035358068396633","1.5231809717753952","1.4614682315107845","Minimal",
"Alaska","2023-12-23","All Results","13.209696040308472","11.173172302378303","11.1955488843259","High",
"Alaska","2024-08-24","All Results","1.0","1.2673298696842639","1.0931915860062658","Minimal",
"Alaska","2024-04-20","All Results","1.3510222403163525","1.5652121545677726","1.453978322969769","Minimal",
"Alaska","2024-02-17","1 Year","4.00400492760768","5.703167230339917","6.4131978521899935","Low",
"Alaska","2024-08-03","All Results","1.0","1.2117774856178687","1.1175196309181836","Minimal",
"Alaska","2024-10-19","6 Months","1.0","1.2548092298909328","1.244443683483863","Minimal",
"Alaska","2024-12-28","1 Year","15.366773025592751","6.471747131416667","6.064849478320982","High",
"Alaska","2024-08-31","1 Year","1.0","1.223386760856302","1.120385113188307","Minimal",
"Alaska","2024-11-09","6 Months","2.4035358068396633","1.5231809717753952","1.4614682315107845","Minimal",
"Alaska","2024-09-14","1 Year","1.0","1.1752096114241828","1.1406880045571857","Minimal",
"Alaska","2023-10-14","All Results","2.218095374243614","1.6920754581433062","1.6721421955845137","Minimal",
"Alaska","2024-05-11","1 Year","1.0","1.4518922057803278","1.4179060345603542","Minimal",
