"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	35	212962	16.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	23	212816	10.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	32	213270	15.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	40	214014	18.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	18	90281	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	18	92240	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	15	93952	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	17	95326	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	31	96592	32.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	12	210711	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	15	207085	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	22	207154	10.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	27	206850	13.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	42	208129	20.2
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	39	209864	18.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	45	210492	21.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	26	211472	12.3
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	29	211611	13.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	34	211864	16.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	43	212565	20.2
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	47	213746	22.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	68	214594	31.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	77	213950	36.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	62	214160	29.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	72	215066	33.5
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	78	215875	36.1
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2020 "	"2020"	11	93302	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	12	248709	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	13	245601	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	21	230972	9.1
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	20	228870	8.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	33	225810	14.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	22	221942	9.9
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	21	218975	9.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	12	214663	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	13	213202	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	11	212735	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	20	210863	9.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	25	208137	12.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	30	204588	14.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	28	203299	13.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	38	203660	18.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	33	204454	16.1
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	44	205382	21.4
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	17	75570	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	21	75124	28.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	19	75174	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	18	75024	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	48	75458	63.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	13	251014	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	13	247372	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	14	242919	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	13	239017	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	20	236652	8.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	18	234481	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	18	233999	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	25	232053	10.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	30	228887	13.1
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	30	226271	13.3
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	30	222558	13.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	26	217046	12.0
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	29	215438	13.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	20	214464	9.3
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	34	211753	16.1
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	49	208694	23.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	55	205339	26.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	60	203053	29.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	64	202621	31.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	59	202373	29.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	101	203027	49.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	11	89519	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	"2020 "	"2020"	12	87153	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	11	235189	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	14	246393	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	19	249100	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	23	251274	9.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	32	252180	12.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	22	252403	8.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	31	249168	12.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	21	244754	8.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	17	240989	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	31	237891	13.0
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	32	235343	13.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	31	232779	13.3
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	33	229273	14.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	26	225775	11.5
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	42	221475	19.0
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	39	218041	17.9
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	10	73771	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	15	73125	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	12	71937	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	33	69521	47.5
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	12	231429	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	15	231551	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	16	235425	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	22	238988	9.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	26	242960	10.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	18	246065	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	27	248457	10.9
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	27	250542	10.8
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	24	250831	9.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	25	246852	10.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	26	242514	10.7
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	24	239311	10.0
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	37	236505	15.6
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	38	233703	16.3
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	28	231901	12.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	58	228395	25.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	48	224258	21.4
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	51	219737	23.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	63	216388	29.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	18	237390	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	24	242067	9.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	28	243503	11.5
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	31	244879	12.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	24	245639	9.8
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	32	245199	13.1
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	18	72583	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	15	72991	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	16	73132	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	28	73007	38.4
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	207061	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	10	222293	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	15	223435	Unreliable
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	29	224776	12.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	21	227147	9.2
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	21	229451	9.2
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	34	231039	14.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	30	232532	12.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	32	233476	13.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	49	233551	21.0
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	10	176282	Unreliable
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	10	39421	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	36239	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	16	42227	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	14	44285	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	12	45720	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	16	44934	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	16	44494	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	15	42559	Unreliable
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	10	41903	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	13	36495	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	11	35346	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	13	34698	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	34199	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	14	34919	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	18	35112	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	14	36061	Unreliable
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	15	36916	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	10	41050	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	10	41049	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	11	32277	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	13	30994	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	10	29857	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	14	45316	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	21	45671	46.0
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	15	44864	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	15	43801	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	11	42025	Unreliable
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	10	36427	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	10	38671	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	10	37721	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	11	36964	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	15	36094	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	11	337930	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	12	344834	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	16	351441	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	15	360042	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	19	361142	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	17	363581	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	15	365805	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	17	370679	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	17	374316	Unreliable
