"Dataset","State","Year","Quarter","Setting","Drug","Characteristic","Level","Rate","Count"
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",263.55493858262,100
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",231.070225729452,100
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",314.889723642951,150
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",291.893739851326,150
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",280.06823586488,150
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",244.476297438933,100
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",281.856173537603,150
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",257.604995109214,100
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",297.326349975985,150
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",356.791619971182,150
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",272.167966516479,100
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",260.732337671249,100
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",250.990144607166,100
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",274.016763378465,100
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",301.648705904025,150
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",301.648705904025,150
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",219.441110920624,50
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",173.27561460974,50
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",182.867592433853,50
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",278.424480259206,50
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",179.342299706219,50
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",207.253030256884,50
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",177.391266725076,50
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",183.675812191482,50
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",175.326911637324,50
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",217.071414408115,50
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",258.815917178907,50
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",193.221475186814,50
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",169.561702714959,50
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",268.144088014354,50
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",236.597724718547,50
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",282.105026831001,250
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",283.238718832624,250
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",290.566742504574,300
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",291.29522094659,300
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",270.072817040441,250
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",248.251007700707,250
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",298.760701782624,300
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",235.210852844158,250
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",321.332529124053,300
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",350.831908846917,350
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",312.90413491752,300
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",385.599034948863,350
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",306.760509557474,300
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",305.713545361033,300
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",330.840686075638,300
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",280.586404646427,250
"AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",340.485184320249,300
"AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",312.382561323315,300
"AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",319.884141693534,300
"AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",342.852990899945,300
"AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",361.557528011698,300
"AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",285.261996154057,250
"AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",346.596174419694,300
"AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",297.333329792318,250
"AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",361.408234046142,300
"AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",431.173747580366,400
"AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",371.701506534798,350
"AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",354.546052387038,300
"AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",300.080987766585,250
"AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",353.504496952302,300
"AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",328.497747971754,300
"AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",312.584362256859,300
"AHRQ","Alaska",2016,"Q1","IP","All Opioids","Total","All Inpatient Stays",224.806237496823,400
"AHRQ","Alaska",2016,"Q2","IP","All Opioids","Total","All Inpatient Stays",227.502654632554,400
"AHRQ","Alaska",2016,"Q3","IP","All Opioids","Total","All Inpatient Stays",254.505926475341,450
"AHRQ","Alaska",2016,"Q4","IP","All Opioids","Total","All Inpatient Stays",259.551730399228,500
"AHRQ","Alaska",2017,"Q1","IP","All Opioids","Total","All Inpatient Stays",243.535185156947,450
"AHRQ","Alaska",2017,"Q2","IP","All Opioids","Total","All Inpatient Stays",240.754321388031,450
"AHRQ","Alaska",2017,"Q3","IP","All Opioids","Total","All Inpatient Stays",261.499307433237,500
"AHRQ","Alaska",2017,"Q4","IP","All Opioids","Total","All Inpatient Stays",276.493276924265,500
"AHRQ","Alaska",2018,"Q1","IP","All Opioids","Total","All Inpatient Stays",254.058504372014,450
"AHRQ","Alaska",2018,"Q2","IP","All Opioids","Total","All Inpatient Stays",248.45656586184,450
"AHRQ","Alaska",2018,"Q3","IP","All Opioids","Total","All Inpatient Stays",256.837302366507,500
"AHRQ","Alaska",2018,"Q4","IP","All Opioids","Total","All Inpatient Stays",269.531580793476,500
"AHRQ","Alaska",2019,"Q1","IP","All Opioids","Total","All Inpatient Stays",281.860204044991,500
"AHRQ","Alaska",2019,"Q2","IP","All Opioids","Total","All Inpatient Stays",259.475922790102,500
"AHRQ","Alaska",2019,"Q3","IP","All Opioids","Total","All Inpatient Stays",266.88484727582,500
"AHRQ","Alaska",2019,"Q4","IP","All Opioids","Total","All Inpatient Stays",269.58065381396,500
"AHRQ","Alaska",2020,"Q1","IP","All Opioids","Total","All Inpatient Stays",281.521062565685,500
"AHRQ","Alaska",2020,"Q2","IP","All Opioids","Total","All Inpatient Stays",237.702167326344,450
"AHRQ","Alaska",2020,"Q3","IP","All Opioids","Total","All Inpatient Stays",250.394337973619,450
"AHRQ","Alaska",2020,"Q4","IP","All Opioids","Total","All Inpatient Stays",237.923904422731,450
"AHRQ","Alaska",2021,"Q1","IP","All Opioids","Total","All Inpatient Stays",242.387018584833,450
"AHRQ","Alaska",2021,"Q2","IP","All Opioids","Total","All Inpatient Stays",290.645067533849,550
"AHRQ","Alaska",2021,"Q3","IP","All Opioids","Total","All Inpatient Stays",253.903143902212,450
"AHRQ","Alaska",2021,"Q4","IP","All Opioids","Total","All Inpatient Stays",246.225727023959,450
"AHRQ","Alaska",2022,"Q1","IP","All Opioids","Total","All Inpatient Stays",253.419114341069,450
"AHRQ","Alaska",2022,"Q2","IP","All Opioids","Total","All Inpatient Stays",283.938405530532,500
"AHRQ","Alaska",2022,"Q3","IP","All Opioids","Total","All Inpatient Stays",273.583646019821,500
"AHRQ","Alaska",2022,"Q4","IP","All Opioids","Total","All Inpatient Stays",263.77387385178,500
"AHRQ","Alaska",2016,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2016,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2016,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2016,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2017,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2018,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2018,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Alaska",2018,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
