"Dataset","Disease","Region","Region Type","Season","Week Observed","Characteristic","Level","WVAL Category","National WVAL","State WVAL","Regional WVAL","Coverage"
"NWSS","Influenza A","Alabama","State","2022-23",2022-12-31,"Not Stratified","N/A","Moderate",14.81,9.6,10.37,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-01-07,"Not Stratified","N/A","Moderate",9.61,4.51,7.04,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-01-14,"Not Stratified","N/A","Low",5.64,3.37,4.4,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-01-21,"Not Stratified","N/A","Minimal",3.67,1.3,3.55,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-01-28,"Not Stratified","N/A","Minimal",2.72,1.34,2.72,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-02-04,"Not Stratified","N/A","Low",2.22,1.76,2.45,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-02-11,"Not Stratified","N/A","Low",1.93,2.32,2.49,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-02-18,"Not Stratified","N/A","Low",1.92,1.93,1.84,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-02-25,"Not Stratified","N/A","Low",1.71,2.69,1.46,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-03-04,"Not Stratified","N/A","Minimal",1.96,1.36,1.4,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-03-11,"Not Stratified","N/A","Low",1.86,1.93,1.29,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-03-18,"Not Stratified","N/A","Low",1.9,2.24,1.37,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-03-25,"Not Stratified","N/A","Minimal",1.78,1.34,1.54,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-04-01,"Not Stratified","N/A","Minimal",1.66,1.5,1.35,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-04-08,"Not Stratified","N/A","Minimal",1.73,1.55,1.49,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-04-15,"Not Stratified","N/A","Minimal",1.67,1.27,1.67,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-04-22,"Not Stratified","N/A","Minimal",1.41,1.37,1.27,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-04-29,"Not Stratified","N/A","Minimal",1.41,1.25,1.34,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-05-06,"Not Stratified","N/A","Minimal",1.44,1.2,1.46,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-05-13,"Not Stratified","N/A","Minimal",1.44,1.39,1.48,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-05-20,"Not Stratified","N/A","Minimal",1.41,1.26,1.53,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-05-27,"Not Stratified","N/A","Minimal",1.36,1.32,1.43,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-06-03,"Not Stratified","N/A","Minimal",1.32,1.16,1.42,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-06-10,"Not Stratified","N/A","Minimal",1.28,1.45,1.48,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-06-17,"Not Stratified","N/A","Minimal",1.35,1.17,1.42,NA
"NWSS","Influenza A","Alabama","State","2022-23",2023-06-24,"Not Stratified","N/A","Minimal",1.35,1.43,1.38,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-07-01,"Not Stratified","N/A","Minimal",1.34,1.23,1.48,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-07-08,"Not Stratified","N/A","Minimal",1.32,1.23,1.31,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-07-15,"Not Stratified","N/A","Minimal",1.47,1.26,1.5,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-07-22,"Not Stratified","N/A","Minimal",1.39,1.39,1.5,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-07-29,"Not Stratified","N/A","Minimal",1.3,1.26,1.41,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-08-05,"Not Stratified","N/A","Minimal",1.31,1.25,1.42,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-08-12,"Not Stratified","N/A","Low",1.44,1.74,1.63,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-08-19,"Not Stratified","N/A","Low",1.47,1.67,1.64,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-08-26,"Not Stratified","N/A","Minimal",1.35,1.44,1.41,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-09-02,"Not Stratified","N/A","Minimal",1.35,1.38,1.49,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-09-09,"Not Stratified","N/A","Low",1.39,1.75,1.59,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-09-16,"Not Stratified","N/A","Minimal",1.5,1.38,1.72,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-09-23,"Not Stratified","N/A","Low",1.59,2,1.79,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-09-30,"Not Stratified","N/A","Minimal",1.59,1.53,1.96,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-10-07,"Not Stratified","N/A","Minimal",1.36,1.17,2.13,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-10-14,"Not Stratified","N/A","Low",1.39,1.88,1.73,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-10-21,"Not Stratified","N/A","Minimal",1.48,1.33,1.72,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-10-28,"Not Stratified","N/A","Low",1.48,2.21,1.69,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-11-04,"Not Stratified","N/A","Minimal",1.7,1.58,2.02,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-11-11,"Not Stratified","N/A","Low",1.76,2.79,2.04,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-11-18,"Not Stratified","N/A","Moderate",1.94,4.58,2.98,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-11-25,"Not Stratified","N/A","Moderate",2.05,5.42,3.3,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-12-02,"Not Stratified","N/A","Moderate",3.89,7.88,5.52,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-12-09,"Not Stratified","N/A","Moderate",5.32,7.6,5.3,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-12-16,"Not Stratified","N/A","Moderate",7.15,11.73,8.41,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-12-23,"Not Stratified","N/A","High",10.08,16.24,10.88,NA
"NWSS","Influenza A","Alabama","State","2023-24",2023-12-30,"Not Stratified","N/A","High",14.36,16.81,17.62,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-01-06,"Not Stratified","N/A","High",11.21,17.27,13.78,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-01-13,"Not Stratified","N/A","High",10.52,14.8,10.98,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-01-20,"Not Stratified","N/A","High",8.9,13.26,7.99,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-01-27,"Not Stratified","N/A","Moderate",8.38,12.12,8.09,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-02-03,"Not Stratified","N/A","Moderate",8.13,8.37,7.79,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-02-10,"Not Stratified","N/A","High",7.37,13.19,5.92,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-02-17,"Not Stratified","N/A","Moderate",6.89,8.77,6.81,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-02-24,"Not Stratified","N/A","Moderate",6.64,10.11,5.8,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-03-02,"Not Stratified","N/A","Moderate",6.16,8.12,5.24,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-03-09,"Not Stratified","N/A","Moderate",4.8,5.05,4.03,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-03-16,"Not Stratified","N/A","Moderate",3.78,5.06,3.21,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-03-23,"Not Stratified","N/A","Moderate",3.05,5.1,2.72,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-03-30,"Not Stratified","N/A","Moderate",3.37,4.87,3.45,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-04-06,"Not Stratified","N/A","Low",3.64,2.59,2.9,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-04-13,"Not Stratified","N/A","Moderate",3.05,8.21,2.67,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-04-20,"Not Stratified","N/A","Low",2.72,2.98,2.06,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-04-27,"Not Stratified","N/A","Low",2.17,3.88,1.84,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-05-04,"Not Stratified","N/A","Low",2.24,3.37,1.73,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-05-11,"Not Stratified","N/A","Low",2.51,4.43,1.62,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-05-18,"Not Stratified","N/A","Low",2.07,1.75,1.59,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-05-25,"Not Stratified","N/A","Minimal",1.76,1.27,1.51,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-06-01,"Not Stratified","N/A","Minimal",1.74,1.59,1.47,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-06-08,"Not Stratified","N/A","Low",1.7,2.1,1.33,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-06-15,"Not Stratified","N/A","Low",1.52,2.4,1.24,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-06-22,"Not Stratified","N/A","Low",1.34,2.69,1.26,NA
"NWSS","Influenza A","Alabama","State","2023-24",2024-06-29,"Not Stratified","N/A","Low",1.41,1.72,1.21,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-07-06,"Not Stratified","N/A","Minimal",1.28,1.45,1.26,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-07-13,"Not Stratified","N/A","Minimal",1.33,1.28,1.19,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-07-20,"Not Stratified","N/A","Low",1.41,1.69,1.2,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-07-27,"Not Stratified","N/A","Minimal",1.36,1.45,1.41,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-08-03,"Not Stratified","N/A","Minimal",1.25,1.46,1.22,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-08-10,"Not Stratified","N/A","Minimal",1.35,1.28,1.28,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-08-17,"Not Stratified","N/A","Low",1.23,1.87,1.26,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-08-24,"Not Stratified","N/A","Low",1.25,1.7,1.24,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-08-31,"Not Stratified","N/A","Minimal",1.27,1.54,1.25,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-09-07,"Not Stratified","N/A","Low",1.22,1.72,1.36,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-09-14,"Not Stratified","N/A","Minimal",1.17,1.51,1.19,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-09-21,"Not Stratified","N/A","Minimal",1.16,1.29,1.28,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-09-28,"Not Stratified","N/A","Minimal",1.27,1.59,1.37,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-10-05,"Not Stratified","N/A","Low",1.28,1.66,1.44,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-10-12,"Not Stratified","N/A","Low",1.13,2.12,1.23,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-10-19,"Not Stratified","N/A","Minimal",1.18,1.53,1.24,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-10-26,"Not Stratified","N/A","Low",1.12,1.76,1.27,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-11-02,"Not Stratified","N/A","Low",1.18,2.79,1.28,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-11-09,"Not Stratified","N/A","Low",1.34,3.24,1.63,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-11-16,"Not Stratified","N/A","Moderate",1.52,6.95,1.57,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-11-23,"Not Stratified","N/A","Moderate",1.7,4.92,1.46,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-11-30,"Not Stratified","N/A","Moderate",1.74,6.45,1.51,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-12-07,"Not Stratified","N/A","Moderate",2.51,7.71,2.38,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-12-14,"Not Stratified","N/A","Moderate",4.35,11.96,4.68,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-12-21,"Not Stratified","N/A","Very High",6.68,20.83,6.9,NA
"NWSS","Influenza A","Alabama","State","2024-25",2024-12-28,"Not Stratified","N/A","Very High",9.01,25.46,9.98,NA
"NWSS","Influenza A","Alabama","State","2024-25",2025-01-04,"Not Stratified","N/A","Very High",12.81,22.28,12,NA
"NWSS","Influenza A","Alabama","State","2024-25",2025-01-11,"Not Stratified","N/A","High",12.41,17.9,12.92,NA
"NWSS","Influenza A","Alabama","State","2024-25",2025-01-18,"Not Stratified","N/A","High",14.09,16.91,13.82,NA
"NWSS","Influenza A","Alabama","State","2024-25",2025-01-25,"Not Stratified","N/A","Very High",21.24,30.74,25.34,NA
"NWSS","Influenza A","Alabama","State","2024-25",2025-02-01,"Not Stratified","N/A","Very High",22.57,31.22,24.07,NA
"NWSS","Influenza A","Alaska","State","2022-23",2023-05-27,"Not Stratified","N/A","Low",1.36,2.31,1.39,NA
"NWSS","Influenza A","Alaska","State","2022-23",2023-06-03,"Not Stratified","N/A","Low",1.32,3.23,1.33,NA
"NWSS","Influenza A","Alaska","State","2022-23",2023-06-10,"Not Stratified","N/A","Low",1.28,2.1,1.36,NA
"NWSS","Influenza A","Alaska","State","2022-23",2023-06-17,"Not Stratified","N/A","Low",1.35,2.4,1.52,NA
"NWSS","Influenza A","Alaska","State","2022-23",2023-06-24,"Not Stratified","N/A","Low",1.35,2.48,1.45,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-07-01,"Not Stratified","N/A","Minimal",1.34,1.19,1.35,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-07-08,"Not Stratified","N/A","Minimal",1.32,1.23,1.32,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-07-15,"Not Stratified","N/A","Low",1.47,1.69,1.48,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-07-22,"Not Stratified","N/A","Minimal",1.39,0.61,1.39,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-07-29,"Not Stratified","N/A","Minimal",1.3,1.49,1.37,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-08-05,"Not Stratified","N/A","Minimal",1.31,0.73,1.36,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-08-12,"Not Stratified","N/A","Low",1.44,1.74,1.44,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-08-19,"Not Stratified","N/A","Low",1.47,1.77,1.43,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-08-26,"Not Stratified","N/A","Low",1.35,1.87,1.53,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-09-02,"Not Stratified","N/A","Low",1.35,2.81,1.47,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-09-09,"Not Stratified","N/A","Low",1.39,3.71,1.53,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-09-16,"Not Stratified","N/A","Low",1.5,2.6,1.5,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-09-23,"Not Stratified","N/A","Low",1.59,4.11,1.67,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-09-30,"Not Stratified","N/A","Moderate",1.59,4.99,1.61,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-10-07,"Not Stratified","N/A","Moderate",1.36,11.27,1.42,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-10-14,"Not Stratified","N/A","High",1.39,15.13,1.59,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-10-21,"Not Stratified","N/A","High",1.48,13.96,1.53,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-10-28,"Not Stratified","N/A","Very High",1.48,23.42,1.71,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-11-04,"Not Stratified","N/A","Very High",1.7,32.64,1.68,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-11-11,"Not Stratified","N/A","Very High",1.76,30.11,2.97,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-11-18,"Not Stratified","N/A","High",1.94,13.8,3.86,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-11-25,"Not Stratified","N/A","High",2.05,14.57,4.54,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-12-02,"Not Stratified","N/A","High",3.89,17.48,6.51,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-12-09,"Not Stratified","N/A","Moderate",5.32,6.6,8.82,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-12-16,"Not Stratified","N/A","Moderate",7.15,6.35,10.08,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-12-23,"Not Stratified","N/A","Low",10.08,2.89,16.17,NA
"NWSS","Influenza A","Alaska","State","2023-24",2023-12-30,"Not Stratified","N/A","Moderate",14.36,10.58,16.59,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-01-06,"Not Stratified","N/A","Moderate",11.21,8.41,16.37,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-01-13,"Not Stratified","N/A","Moderate",10.52,10.76,11.05,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-01-20,"Not Stratified","N/A","Moderate",8.9,10.79,10.79,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-01-27,"Not Stratified","N/A","Moderate",8.38,7.64,9.5,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-02-03,"Not Stratified","N/A","Low",8.13,4.03,7.21,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-02-10,"Not Stratified","N/A","Moderate",7.37,10.03,6.68,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-02-17,"Not Stratified","N/A","Moderate",6.89,4.85,4.88,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-02-24,"Not Stratified","N/A","Low",6.64,4.19,4.62,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-03-02,"Not Stratified","N/A","Low",6.16,3.1,3.91,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-03-09,"Not Stratified","N/A","Moderate",4.8,7.51,4.21,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-03-16,"Not Stratified","N/A","Moderate",3.78,5.23,3.07,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-03-23,"Not Stratified","N/A","Low",3.05,2.71,2.61,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-03-30,"Not Stratified","N/A","Minimal",3.37,1.51,2.49,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-04-06,"Not Stratified","N/A","Low",3.64,3.71,2.24,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-04-13,"Not Stratified","N/A","Low",3.05,3.11,2.45,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-04-20,"Not Stratified","N/A","Low",2.72,1.99,2.11,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-04-27,"Not Stratified","N/A","Moderate",2.17,5.77,1.96,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-05-04,"Not Stratified","N/A","Moderate",2.24,5.84,2.24,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-05-11,"Not Stratified","N/A","Moderate",2.51,6.05,2.92,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-05-18,"Not Stratified","N/A","Moderate",2.07,4.91,2.42,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-05-25,"Not Stratified","N/A","Moderate",1.76,4.52,1.95,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-06-01,"Not Stratified","N/A","Moderate",1.74,6.34,2.05,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-06-08,"Not Stratified","N/A","Moderate",1.7,6.99,2.23,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-06-15,"Not Stratified","N/A","Moderate",1.52,10.01,1.74,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-06-22,"Not Stratified","N/A","Moderate",1.34,5.64,1.65,NA
"NWSS","Influenza A","Alaska","State","2023-24",2024-06-29,"Not Stratified","N/A","Low",1.41,2.07,1.54,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-07-06,"Not Stratified","N/A","Low",1.28,1.9,1.24,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-07-13,"Not Stratified","N/A","Low",1.33,1.92,1.28,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-07-20,"Not Stratified","N/A","Low",1.41,1.95,1.31,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-07-27,"Not Stratified","N/A","Moderate",1.36,4.55,1.31,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-08-03,"Not Stratified","N/A","Low",1.25,3.18,1.27,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-08-10,"Not Stratified","N/A","Low",1.35,2.09,1.32,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-08-17,"Not Stratified","N/A","Minimal",1.23,1,1.21,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-08-24,"Not Stratified","N/A","Minimal",1.25,1,1.15,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-08-31,"Not Stratified","N/A","Low",1.27,3.13,1.16,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-09-07,"Not Stratified","N/A","Minimal",1.22,1.33,1.19,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-09-14,"Not Stratified","N/A","Low",1.17,3.89,1.24,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-09-21,"Not Stratified","N/A","Low",1.16,2.21,1.21,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-09-28,"Not Stratified","N/A","Low",1.27,2.85,1.19,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-10-05,"Not Stratified","N/A","Minimal",1.28,1,1.09,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-10-12,"Not Stratified","N/A","Minimal",1.13,1,1.12,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-10-19,"Not Stratified","N/A","Minimal",1.18,1,1.18,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-10-26,"Not Stratified","N/A","Minimal",1.12,1,1.25,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-11-02,"Not Stratified","N/A","Minimal",1.18,1,1.58,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-11-09,"Not Stratified","N/A","Low",1.34,2.32,1.79,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-11-16,"Not Stratified","N/A","Low",1.52,1.85,2.79,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-11-23,"Not Stratified","N/A","Low",1.7,1.7,3.65,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-11-30,"Not Stratified","N/A","Minimal",1.74,1.26,4.12,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-12-07,"Not Stratified","N/A","Moderate",2.51,7.17,6.58,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-12-14,"Not Stratified","N/A","Low",4.35,2.81,9.68,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-12-21,"Not Stratified","N/A","Moderate",6.68,7.07,12.65,NA
"NWSS","Influenza A","Alaska","State","2024-25",2024-12-28,"Not Stratified","N/A","Moderate",9.01,10.48,17.59,NA
"NWSS","Influenza A","Alaska","State","2024-25",2025-01-04,"Not Stratified","N/A","Moderate",12.81,12.14,19.08,NA
"NWSS","Influenza A","Alaska","State","2024-25",2025-01-11,"Not Stratified","N/A","Moderate",12.41,10.6,20.14,NA
"NWSS","Influenza A","Alaska","State","2024-25",2025-01-18,"Not Stratified","N/A","High",14.09,12.26,16.58,NA
"NWSS","Influenza A","Alaska","State","2024-25",2025-01-25,"Not Stratified","N/A","Moderate",21.24,8.29,18.52,NA
"NWSS","Influenza A","Alaska","State","2024-25",2025-02-01,"Not Stratified","N/A","High",22.57,15.1,19.91,NA
"NWSS","Influenza A","Arizona","State","2023-24",2023-10-14,"Not Stratified","N/A","Low",1.39,2.24,1.59,"Limited Coverage"
"NWSS","Influenza A","Arizona","State","2023-24",2023-10-21,"Not Stratified","N/A","Minimal",1.48,1.33,1.53,"Limited Coverage"
"NWSS","Influenza A","Arizona","State","2023-24",2023-10-28,"Not Stratified","N/A","Low",1.48,2.19,1.71,"Limited Coverage"
"NWSS","Influenza A","Arizona","State","2023-24",2023-11-04,"Not Stratified","N/A","Minimal",1.7,1.54,1.68,"Limited Coverage"
