"","Dataset","State","Year","Quarter","Setting","Drug","Characteristic","Level","Rate","Count"
"21","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",340.548277242491,600
"22","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",389.354713111383,700
"23","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",341.096664162366,600
"24","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",370.709557835626,700
"25","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",303.557949866614,550
"26","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",329.172354972056,600
"27","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",329.717342314725,600
"28","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",295.928127069249,550
"29","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"30","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"31","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"32","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"33","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"34","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"35","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"36","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"37","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"38","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"39","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"40","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"41","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"42","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"43","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"44","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"45","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"46","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"47","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"48","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"49","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"50","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"51","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"52","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"53","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"54","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"55","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"56","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"57","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"58","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"59","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"60","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"61","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"62","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"63","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"64","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"65","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"66","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"67","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"68","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"69","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",124.554235315964,100
"70","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",87.566336791459,50
"71","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",77.1921360511398,50
"72","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",102.039862301048,50
"73","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",88.5863101341098,50
"74","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",86.0450926881008,50
"75","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",116.474592954107,50
"76","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",68.900463437641,50
"77","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",125.236906481427,100
"78","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",120.22743022217,50
"79","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",135.255858999942,100
"80","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",131.916208160437,100
"81","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",109.415636336091,50
"82","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",102.682366407716,50
"83","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",95.9490964793415,50
"84","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",75.749286694217,50
"85","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"86","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"87","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"88","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"89","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"90","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"91","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"92","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"93","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"94","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"95","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"96","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"97","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",619.741021911377,350
"98","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",665.513505923719,350
"99","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",627.011723686862,350
"100","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",618.03492915912,350
"101","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",677.837708831777,350
"102","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",583.50518498899,300
"103","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",661.06781014676,350
"104","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",547.66137501687,300
"105","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",712.90657953364,350
"106","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",843.222836007532,450
"107","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",709.073748460879,350
"108","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",806.810940816297,400
"109","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",633.04034684546,350
"110","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",722.12087469497,400
"111","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",661.470302542112,350
"112","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",581.866426591485,300
"113","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"114","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"115","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"116","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"117","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"118","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"119","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"120","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"121","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"122","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"123","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"124","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"125","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",263.55493858262,100
"126","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",231.070225729452,100
"127","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",314.889723642951,150
"128","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",291.893739851326,150
"129","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",280.06823586488,150
"130","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",244.476297438933,100
"131","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",281.856173537603,150
"132","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",257.604995109214,100
"133","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",297.326349975985,150
"134","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",356.791619971182,150
"135","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",272.167966516479,100
"136","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",260.732337671249,100
"137","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",250.990144607166,100
"138","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",274.016763378465,100
"139","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",301.648705904025,150
"140","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",301.648705904025,150
"141","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"142","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"143","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"144","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"145","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"146","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"147","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"148","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"149","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"150","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"151","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"152","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"153","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",219.441110920624,50
"154","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",173.27561460974,50
"155","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",182.867592433853,50
"156","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",278.424480259206,50
"157","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",179.342299706219,50
"158","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"159","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",207.253030256884,50
"160","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",177.391266725076,50
"161","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",183.675812191482,50
"162","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",175.326911637324,50
"163","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",217.071414408115,50
"164","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",258.815917178907,50
"165","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",193.221475186814,50
"166","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",169.561702714959,50
"167","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",268.144088014354,50
"168","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",236.597724718547,50
"169","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"170","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"171","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"172","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"173","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"174","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"175","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"176","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"177","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"178","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"179","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"180","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"181","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",282.105026831001,250
"182","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",283.238718832624,250
"183","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",290.566742504574,300
"184","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",291.29522094659,300
"185","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",270.072817040441,250
"186","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",248.251007700707,250
"187","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",298.760701782624,300
"188","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",235.210852844158,250
"189","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",321.332529124053,300
"190","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",350.831908846917,350
"191","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",312.90413491752,300
"192","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",385.599034948863,350
"193","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",306.760509557474,300
"194","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",305.713545361033,300
"195","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",330.840686075638,300
"196","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",280.586404646427,250
"197","AHRQ","Alaska",2016,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"198","AHRQ","Alaska",2016,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"199","AHRQ","Alaska",2016,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"200","AHRQ","Alaska",2016,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"201","AHRQ","Alaska",2017,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"202","AHRQ","Alaska",2017,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"203","AHRQ","Alaska",2017,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"204","AHRQ","Alaska",2017,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"205","AHRQ","Alaska",2018,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"206","AHRQ","Alaska",2018,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"207","AHRQ","Alaska",2018,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"208","AHRQ","Alaska",2018,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"209","AHRQ","Alaska",2019,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",340.485184320249,300
"210","AHRQ","Alaska",2019,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",312.382561323315,300
"211","AHRQ","Alaska",2019,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",319.884141693534,300
"212","AHRQ","Alaska",2019,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",342.852990899945,300
"213","AHRQ","Alaska",2020,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",361.557528011698,300
"214","AHRQ","Alaska",2020,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",285.261996154057,250
"215","AHRQ","Alaska",2020,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",346.596174419694,300
"216","AHRQ","Alaska",2020,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",297.333329792318,250
"217","AHRQ","Alaska",2021,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",361.408234046142,300
"218","AHRQ","Alaska",2021,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",431.173747580366,400
"219","AHRQ","Alaska",2021,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",371.701506534798,350
"220","AHRQ","Alaska",2021,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",354.546052387038,300
"221","AHRQ","Alaska",2022,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",300.080987766585,250
"222","AHRQ","Alaska",2022,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",353.504496952302,300
"223","AHRQ","Alaska",2022,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",328.497747971754,300
"224","AHRQ","Alaska",2022,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",312.584362256859,300
"225","AHRQ","Alaska",2016,"Q1","IP","All Opioids","Total","All Inpatient Stays",224.806237496823,400
"226","AHRQ","Alaska",2016,"Q2","IP","All Opioids","Total","All Inpatient Stays",227.502654632554,400
"227","AHRQ","Alaska",2016,"Q3","IP","All Opioids","Total","All Inpatient Stays",254.505926475341,450
"228","AHRQ","Alaska",2016,"Q4","IP","All Opioids","Total","All Inpatient Stays",259.551730399228,500
"229","AHRQ","Alaska",2017,"Q1","IP","All Opioids","Total","All Inpatient Stays",243.535185156947,450
"230","AHRQ","Alaska",2017,"Q2","IP","All Opioids","Total","All Inpatient Stays",240.754321388031,450
"231","AHRQ","Alaska",2017,"Q3","IP","All Opioids","Total","All Inpatient Stays",261.499307433237,500
"232","AHRQ","Alaska",2017,"Q4","IP","All Opioids","Total","All Inpatient Stays",276.493276924265,500
"233","AHRQ","Alaska",2018,"Q1","IP","All Opioids","Total","All Inpatient Stays",254.058504372014,450
"234","AHRQ","Alaska",2018,"Q2","IP","All Opioids","Total","All Inpatient Stays",248.45656586184,450
"235","AHRQ","Alaska",2018,"Q3","IP","All Opioids","Total","All Inpatient Stays",256.837302366507,500
"236","AHRQ","Alaska",2018,"Q4","IP","All Opioids","Total","All Inpatient Stays",269.531580793476,500
"237","AHRQ","Alaska",2019,"Q1","IP","All Opioids","Total","All Inpatient Stays",281.860204044991,500
"238","AHRQ","Alaska",2019,"Q2","IP","All Opioids","Total","All Inpatient Stays",259.475922790102,500
"239","AHRQ","Alaska",2019,"Q3","IP","All Opioids","Total","All Inpatient Stays",266.88484727582,500
"240","AHRQ","Alaska",2019,"Q4","IP","All Opioids","Total","All Inpatient Stays",269.58065381396,500
"241","AHRQ","Alaska",2020,"Q1","IP","All Opioids","Total","All Inpatient Stays",281.521062565685,500
"242","AHRQ","Alaska",2020,"Q2","IP","All Opioids","Total","All Inpatient Stays",237.702167326344,450
"243","AHRQ","Alaska",2020,"Q3","IP","All Opioids","Total","All Inpatient Stays",250.394337973619,450
"244","AHRQ","Alaska",2020,"Q4","IP","All Opioids","Total","All Inpatient Stays",237.923904422731,450
"245","AHRQ","Alaska",2021,"Q1","IP","All Opioids","Total","All Inpatient Stays",242.387018584833,450
"246","AHRQ","Alaska",2021,"Q2","IP","All Opioids","Total","All Inpatient Stays",290.645067533849,550
"247","AHRQ","Alaska",2021,"Q3","IP","All Opioids","Total","All Inpatient Stays",253.903143902212,450
"248","AHRQ","Alaska",2021,"Q4","IP","All Opioids","Total","All Inpatient Stays",246.225727023959,450
"249","AHRQ","Alaska",2022,"Q1","IP","All Opioids","Total","All Inpatient Stays",253.419114341069,450
"250","AHRQ","Alaska",2022,"Q2","IP","All Opioids","Total","All Inpatient Stays",283.938405530532,500
"251","AHRQ","Alaska",2022,"Q3","IP","All Opioids","Total","All Inpatient Stays",273.583646019821,500
